Reviewer,Local Guide,Reviews,Photos,Stars,Review,Date,Visited on,Wait time,Reservation recommended,review_text_raw,rating,review_date,reviewer_name,char_len_raw,clean_text,tokens,word_count,char_count,sentiment_score,sentiment_label
Curtis Haigler,True,43,13,4,"Took my wife to see nate bargatze and had an awesome time! Get rid of the ridiculous prices for food and drink and it will be a crazy good time. Like I get it, everyone wants to make money but they trying to make it all in one night! But as usual, even though price gouging is wrong, you can really only blame the peeps that keep on paying it.",4 months ago,Weekday,1030 min,Yes,"Took my wife to see nate bargatze and had an awesome time! Get rid of the ridiculous prices for food and drink and it will be a crazy good time. Like I get it, everyone wants to make money but they trying to make it all in one night! But as usual, even though price gouging is wrong, you can really only blame the peeps that keep on paying it.",4.0,,Curtis Haigler,343,took wife see nate bargatze awesome time get rid ridiculous price food drink crazy good time like get everyone want make money trying make one night usual even though price gouging wrong really blame peep keep paying,"['took', 'wife', 'see', 'nate', 'bargatze', 'awesome', 'time', 'get', 'rid', 'ridiculous', 'price', 'food', 'drink', 'crazy', 'good', 'time', 'like', 'get', 'everyone', 'want', 'make', 'money', 'trying', 'make', 'one', 'night', 'usual', 'even', 'though', 'price', 'gouging', 'wrong', 'really', 'blame', 'peep', 'keep', 'paying']",37,343,-0.7544,negative
Greg Payton,True,25,0,3,I miss the ambience of the old spectrum center. The upgraded venue seems very sterile and caters to alcohol sales.,4 months ago,Weekday,No wait,Yes,I miss the ambience of the old spectrum center. The upgraded venue seems very sterile and caters to alcohol sales.,3.0,,Greg Payton,114,miss ambience old spectrum center upgraded venue seems sterile caters alcohol sale,"['miss', 'ambience', 'old', 'spectrum', 'center', 'upgraded', 'venue', 'seems', 'sterile', 'caters', 'alcohol', 'sale']",12,114,-0.1531,negative
None Required,True,837,1211,3,The stadium is nice. It's just unfortunate Charlotte has such a trash basketball team.,4 months ago,Weekend,No wait,Yes,The stadium is nice. It's just unfortunate Charlotte has such a trash basketball team.,3.0,,None Required,86,stadium nice unfortunate charlotte trash basketball team,"['stadium', 'nice', 'unfortunate', 'charlotte', 'trash', 'basketball', 'team']",7,86,-0.0516,negative
Zemi,False,8,1,1,"Came for antagonist tour. After 10pm they stop selling all water and turn off the soda fountains. I asked a worker and they were unaware that the soda fountain water button was gone, I then overheard the person in charge say quote ""Yeah, I removed the water because some kids were getting free water"" the workers are very nice, however many people were moshing and had zero access to any fluids. They used to have drinking fountains a few months ago however have removed them to sell a 12 water cup",4 months ago,,,,"Came for antagonist tour. After 10pm they stop selling all water and turn off the soda fountains. I asked a worker and they were unaware that the soda fountain water button was gone, I then overheard the person in charge say quote ""Yeah, I removed the water because some kids were getting free water"" the workers are very nice, however many people were moshing and had zero access to any fluids. They used to have drinking fountains a few months ago however have removed them to sell a 12 water cup",1.0,,Zemi,498,came antagonist tour stop selling water turn soda fountain asked worker unaware soda fountain water button gone overheard person charge say quote yeah removed water kid getting free water worker nice however many people moshing zero access fluid used drinking fountain month ago however removed sell water cup,"['came', 'antagonist', 'tour', 'stop', 'selling', 'water', 'turn', 'soda', 'fountain', 'asked', 'worker', 'unaware', 'soda', 'fountain', 'water', 'button', 'gone', 'overheard', 'person', 'charge', 'say', 'quote', 'yeah', 'removed', 'water', 'kid', 'getting', 'free', 'water', 'worker', 'nice', 'however', 'many', 'people', 'moshing', 'zero', 'access', 'fluid', 'used', 'drinking', 'fountain', 'month', 'ago', 'however', 'removed', 'sell', 'water', 'cup']",48,498,0.1263,positive
Lord Bartlett Tony,True,254,63,3,the area looks good however it isn't agreat venue for concerts. the seats are rather small and cramped.,5 months ago,Weekday,No wait,Yes,the area looks good however it isn't agreat venue for concerts. the seats are rather small and cramped.,3.0,,Lord Bartlett Tony,103,area look good however agreat venue concert seat rather small cramped,"['area', 'look', 'good', 'however', 'agreat', 'venue', 'concert', 'seat', 'rather', 'small', 'cramped']",11,103,0.4404,positive
Vickie Callaway,False,4,0,4,The Lainey Wilson concert was great but the 2 year old sitting in her mothers lap kicking my seat was horrible. I dont think kids should Be allowed without a dedicated seat. She probably kicked my seat 25 times.,5 months ago,Weekend,Up to 10 min,Yes,The Lainey Wilson concert was great but the 2 year old sitting in her mothers lap kicking my seat was horrible. I dont think kids should Be allowed without a dedicated seat. She probably kicked my seat 25 times.,4.0,,Vickie Callaway,211,lainey wilson concert great year old sitting mother lap kicking seat horrible dont think kid allowed without dedicated seat probably kicked seat time,"['lainey', 'wilson', 'concert', 'great', 'year', 'old', 'sitting', 'mother', 'lap', 'kicking', 'seat', 'horrible', 'dont', 'think', 'kid', 'allowed', 'without', 'dedicated', 'seat', 'probably', 'kicked', 'seat', 'time']",23,211,-0.7521,negative
Daniela Mandel,True,21,0,1,"Very disappointing service. Ive been to many concerts in my life and was excited to bring my daughter to see her favorite but was shocked when we witnessed terrible customer service, both with us and other customers. There was a glitch with the system and while some staff members were trying to solve the issue one employee by the name Amanda long red hair was extremely rude and wouldnt cooperate. I was as kind as I could be, trying to make this experience pleasant for my kid but against all efforts to be kind she continued show so much annoyance with us and ultimately ended up just walking off. We lost over a thousand dollars and ended up having to compromise and I will have to find a way to get the rest of my money back after the show. Hopefully some management will be able to reposition her to not work with people anymore or convince her to be more pleasant. Until then I will have to refer people to use other venues than this.",5 months ago,Weekend,1 hr,Yes,"Very disappointing service. Ive been to many concerts in my life and was excited to bring my daughter to see her favorite but was shocked when we witnessed terrible customer service, both with us and other customers. There was a glitch with the system and while some staff members were trying to solve the issue one employee by the name Amanda long red hair was extremely rude and wouldnt cooperate. I was as kind as I could be, trying to make this experience pleasant for my kid but against all efforts to be kind she continued show so much annoyance with us and ultimately ended up just walking off. We lost over a thousand dollars and ended up having to compromise and I will have to find a way to get the rest of my money back after the show. Hopefully some management will be able to reposition her to not work with people anymore or convince her to be more pleasant. Until then I will have to refer people to use other venues than this.",1.0,,Daniela Mandel,942,disappointing service ive many concert life excited bring daughter see favorite shocked witnessed terrible customer service customer glitch system staff member trying solve issue one employee name amanda long red hair extremely rude wouldnt cooperate kind could trying make experience pleasant kid effort kind continued show much annoyance ultimately ended walking lost thousand dollar ended compromise find way get rest money back show hopefully management able reposition not work people anymore convince pleasant refer people use venue,"['disappointing', 'service', 'ive', 'many', 'concert', 'life', 'excited', 'bring', 'daughter', 'see', 'favorite', 'shocked', 'witnessed', 'terrible', 'customer', 'service', 'customer', 'glitch', 'system', 'staff', 'member', 'trying', 'solve', 'issue', 'one', 'employee', 'name', 'amanda', 'long', 'red', 'hair', 'extremely', 'rude', 'wouldnt', 'cooperate', 'kind', 'could', 'trying', 'make', 'experience', 'pleasant', 'kid', 'effort', 'kind', 'continued', 'show', 'much', 'annoyance', 'ultimately', 'ended', 'walking', 'lost', 'thousand', 'dollar', 'ended', 'compromise', 'find', 'way', 'get', 'rest', 'money', 'back', 'show', 'hopefully', 'management', 'able', 'reposition', 'not', 'work', 'people', 'anymore', 'convince', 'pleasant', 'refer', 'people', 'use', 'venue']",77,942,0.8734,positive
Chip Galloway,True,24,2,3,"Attended Hornets 2025-2026 Opening night. Pros: Renovations look good. New seats are very comfortable. Cons: new food offerings were numerous but many had no photosdescriptions or prices listed. Give us a description including the price to allow the consumer to make a good decision. I like Brixx Pizza but the one I purchased was terribly small, not even covering the little personal sized box it was served in. My wife would not even 'rob' me of a slice since it was soo small. I will not purchase this item again at this facility.",5 months ago,Weekday,No wait,Yes,"Attended Hornets 2025-2026 Opening night. Pros: Renovations look good. New seats are very comfortable. Cons: new food offerings were numerous but many had no photosdescriptions or prices listed. Give us a description including the price to allow the consumer to make a good decision. I like Brixx Pizza but the one I purchased was terribly small, not even covering the little personal sized box it was served in. My wife would not even 'rob' me of a slice since it was soo small. I will not purchase this item again at this facility.",3.0,,Chip Galloway,533,attended hornet opening night pro renovation look good new seat comfortable con new food offering numerous many photosdescriptions price listed give description including price allow consumer make good decision like brixx pizza one purchased terribly small not even covering little personal sized box served wife would not even 'rob' slice since soo small not purchase item facility,"['attended', 'hornet', 'opening', 'night', 'pro', 'renovation', 'look', 'good', 'new', 'seat', 'comfortable', 'con', 'new', 'food', 'offering', 'numerous', 'many', 'photosdescriptions', 'price', 'listed', 'give', 'description', 'including', 'price', 'allow', 'consumer', 'make', 'good', 'decision', 'like', 'brixx', 'pizza', 'one', 'purchased', 'terribly', 'small', 'not', 'even', 'covering', 'little', 'personal', 'sized', 'box', 'served', 'wife', 'would', 'not', 'even', ""'rob'"", 'slice', 'since', 'soo', 'small', 'not', 'purchase', 'item', 'facility']",57,533,0.6119,positive
Jace Bowden,True,28,2,1,"I waited to post this until the concerts were over since the girls that the Spectrum Center let dictate the line were so petty and rude and didnt want them to take it out on me like they were on others. Obviously the ones posting in this thanking the Spectrum Center were involved in the whole process and of course theyd thank them for it, it worked out perfectly in their favor, without regard to anything else. This entire situation was extremely unprofessional. Honestly, legal trouble too. These girls were not employees, and the Spectrum Center walking off of property to hand out wristbands to honor these girls who were holding wristbands for their friends, threatening to remove others from their fan made lists, and going to the Raleigh concert while keeping their place in line in Charlotte is insane. Justin and Daniel were being borderline flirtatious with these girls as well, and you wont get anywhere going to their email since Justin responds back to those emails. Not only was this wildly inappropriate and unprofessional, these girls were laughing in peoples faces, making fun of people, taking turns going to their hotel but then threatening to remove people from their list who werent at their tents the whole time, etc. This is why you do not honor fan made lines and why no where doesnt 99.9 of the time. Its dishonest and up for debate on what is truly fact. Not to mention, you all wouldnt let unhoused people camp out the way everyone did for these shows, and that speaks volumes as well. I hate that I had to be part of this camping problem, because you all let this go down and the only way to get a good spot was to comply with these mean girls who tried to act like they were nice, calm, and professional when people were obviously upset with their behavior. Its also very obvious by you all giving them candy and stuff to post on tik tok is just a ploy for your new arena announcement, its pretty disturbing. Theres better ways to do this, and you all should take some serious pointers from the Heritage Center in Cincinnati. When we went there almost a year ago, they handed out wristbands a day prior to the concert but didnt say what exact time until like an hour before and were partnered with the police to escort campers away that were on and near the property until it was closer to time to hand them out. Once you got your wristbands at Heritage, you got a set time that matched your wristband number to come back the day of the concert to help line people up prior, unlike this venue waiting until exactly 5:30 to actually like people up. Heritage also had Porta Potties for people, water bottles, ice packs etc. This was a huge fumble on your alls part and disgraceful. I hate I had to be part of the camping issue due to your alls negligence and willingness to actually step in and handle the wristbands. Honestly though, the issue wasnt the camping, it was you all allowing random fans to dictate the whole entire general admission line rather than the actual arena. You all need to get a grip.",5 months ago,,,,"I waited to post this until the concerts were over since the girls that the Spectrum Center let dictate the line were so petty and rude and didnt want them to take it out on me like they were on others. Obviously the ones posting in this thanking the Spectrum Center were involved in the whole process and of course theyd thank them for it, it worked out perfectly in their favor, without regard to anything else. This entire situation was extremely unprofessional. Honestly, legal trouble too. These girls were not employees, and the Spectrum Center walking off of property to hand out wristbands to honor these girls who were holding wristbands for their friends, threatening to remove others from their fan made lists, and going to the Raleigh concert while keeping their place in line in Charlotte is insane. Justin and Daniel were being borderline flirtatious with these girls as well, and you wont get anywhere going to their email since Justin responds back to those emails. Not only was this wildly inappropriate and unprofessional, these girls were laughing in peoples faces, making fun of people, taking turns going to their hotel but then threatening to remove people from their list who werent at their tents the whole time, etc. This is why you do not honor fan made lines and why no where doesnt 99.9 of the time. Its dishonest and up for debate on what is truly fact. Not to mention, you all wouldnt let unhoused people camp out the way everyone did for these shows, and that speaks volumes as well. I hate that I had to be part of this camping problem, because you all let this go down and the only way to get a good spot was to comply with these mean girls who tried to act like they were nice, calm, and professional when people were obviously upset with their behavior. Its also very obvious by you all giving them candy and stuff to post on tik tok is just a ploy for your new arena announcement, its pretty disturbing. Theres better ways to do this, and you all should take some serious pointers from the Heritage Center in Cincinnati. When we went there almost a year ago, they handed out wristbands a day prior to the concert but didnt say what exact time until like an hour before and were partnered with the police to escort campers away that were on and near the property until it was closer to time to hand them out. Once you got your wristbands at Heritage, you got a set time that matched your wristband number to come back the day of the concert to help line people up prior, unlike this venue waiting until exactly 5:30 to actually like people up. Heritage also had Porta Potties for people, water bottles, ice packs etc. This was a huge fumble on your alls part and disgraceful. I hate I had to be part of the camping issue due to your alls negligence and willingness to actually step in and handle the wristbands. Honestly though, the issue wasnt the camping, it was you all allowing random fans to dictate the whole entire general admission line rather than the actual arena. You all need to get a grip.",1.0,,Jace Bowden,3037,waited post concert since girl spectrum center let dictate line petty rude didnt want take like others obviously one posting thanking spectrum center involved whole process course theyd thank worked perfectly favor without regard anything else entire situation extremely unprofessional honestly legal trouble girl not employee spectrum center walking property hand wristband honor girl holding wristband friend threatening remove others fan made list going raleigh concert keeping place line charlotte insane justin daniel borderline flirtatious girl well wont get anywhere going email since justin responds back email not wildly inappropriate unprofessional girl laughing people face making fun people taking turn going hotel threatening remove people list werent tent whole time etc not honor fan made line doesnt time dishonest debate truly fact not mention wouldnt let unhoused people camp way everyone show speaks volume well hate part camping problem let way get good spot comply mean girl tried act like nice calm professional people obviously upset behavior also obvious giving candy stuff post tik tok ploy new arena announcement pretty disturbing there better way take serious pointer heritage center cincinnati went almost year ago handed wristband day prior concert didnt say exact time like hour partnered police escort camper away near property closer time hand got wristband heritage got set time matched wristband number come back day concert help line people prior unlike venue waiting exactly actually like people heritage also porta potty people water bottle ice pack etc huge fumble alls part disgraceful hate part camping issue due alls negligence willingness actually step handle wristband honestly though issue wasnt camping allowing random fan dictate whole entire general admission line rather actual arena need get grip,"['waited', 'post', 'concert', 'since', 'girl', 'spectrum', 'center', 'let', 'dictate', 'line', 'petty', 'rude', 'didnt', 'want', 'take', 'like', 'others', 'obviously', 'one', 'posting', 'thanking', 'spectrum', 'center', 'involved', 'whole', 'process', 'course', 'theyd', 'thank', 'worked', 'perfectly', 'favor', 'without', 'regard', 'anything', 'else', 'entire', 'situation', 'extremely', 'unprofessional', 'honestly', 'legal', 'trouble', 'girl', 'not', 'employee', 'spectrum', 'center', 'walking', 'property', 'hand', 'wristband', 'honor', 'girl', 'holding', 'wristband', 'friend', 'threatening', 'remove', 'others', 'fan', 'made', 'list', 'going', 'raleigh', 'concert', 'keeping', 'place', 'line', 'charlotte', 'insane', 'justin', 'daniel', 'borderline', 'flirtatious', 'girl', 'well', 'wont', 'get', 'anywhere', 'going', 'email', 'since', 'justin', 'responds', 'back', 'email', 'not', 'wildly', 'inappropriate', 'unprofessional', 'girl', 'laughing', 'people', 'face', 'making', 'fun', 'people', 'taking', 'turn', 'going', 'hotel', 'threatening', 'remove', 'people', 'list', 'werent', 'tent', 'whole', 'time', 'etc', 'not', 'honor', 'fan', 'made', 'line', 'doesnt', 'time', 'dishonest', 'debate', 'truly', 'fact', 'not', 'mention', 'wouldnt', 'let', 'unhoused', 'people', 'camp', 'way', 'everyone', 'show', 'speaks', 'volume', 'well', 'hate', 'part', 'camping', 'problem', 'let', 'way', 'get', 'good', 'spot', 'comply', 'mean', 'girl', 'tried', 'act', 'like', 'nice', 'calm', 'professional', 'people', 'obviously', 'upset', 'behavior', 'also', 'obvious', 'giving', 'candy', 'stuff', 'post', 'tik', 'tok', 'ploy', 'new', 'arena', 'announcement', 'pretty', 'disturbing', 'there', 'better', 'way', 'take', 'serious', 'pointer', 'heritage', 'center', 'cincinnati', 'went', 'almost', 'year', 'ago', 'handed', 'wristband', 'day', 'prior', 'concert', 'didnt', 'say', 'exact', 'time', 'like', 'hour', 'partnered', 'police', 'escort', 'camper', 'away', 'near', 'property', 'closer', 'time', 'hand', 'got', 'wristband', 'heritage', 'got', 'set', 'time', 'matched', 'wristband', 'number', 'come', 'back', 'day', 'concert', 'help', 'line', 'people', 'prior', 'unlike', 'venue', 'waiting', 'exactly', 'actually', 'like', 'people', 'heritage', 'also', 'porta', 'potty', 'people', 'water', 'bottle', 'ice', 'pack', 'etc', 'huge', 'fumble', 'alls', 'part', 'disgraceful', 'hate', 'part', 'camping', 'issue', 'due', 'alls', 'negligence', 'willingness', 'actually', 'step', 'handle', 'wristband', 'honestly', 'though', 'issue', 'wasnt', 'camping', 'allowing', 'random', 'fan', 'dictate', 'whole', 'entire', 'general', 'admission', 'line', 'rather', 'actual', 'arena', 'need', 'get', 'grip']",276,3037,0.9874,positive
Michael Temple,True,396,928,4,Nice venue but parking was a pain and very expensive,5 months ago,Weekend,1030 min,Yes,Nice venue but parking was a pain and very expensive,4.0,,Michael Temple,52,nice venue parking pain expensive,"['nice', 'venue', 'parking', 'pain', 'expensive']",5,52,-0.5499,negative
Krista Carr,True,24,2,1,THEY HONORED FAN MADE WRISTBANDS FOR A BILLIE CONCERT AND VIOLATED THEIR POLICIES AND WERE DISGUSTING AND RUDE TO THE PEOPLE WHO CAME AT 4AM AS SPECTRUM EMPLOYEES DIRECTED AND KICKED THEM OFF THE PROPERTY BUT THE PEOPLE WITH AMAZON WRISTBANDS GOT REAL WRISTBANDS FIRST. Kicked all of us out of 20th in line to almost 600!!!,5 months ago,Weekend,1 hr,No,THEY HONORED FAN MADE WRISTBANDS FOR A BILLIE CONCERT AND VIOLATED THEIR POLICIES AND WERE DISGUSTING AND RUDE TO THE PEOPLE WHO CAME AT 4AM AS SPECTRUM EMPLOYEES DIRECTED AND KICKED THEM OFF THE PROPERTY BUT THE PEOPLE WITH AMAZON WRISTBANDS GOT REAL WRISTBANDS FIRST. Kicked all of us out of 20th in line to almost 600!!!,1.0,,Krista Carr,323,honored fan made wristband billie concert violated policy disgusting rude people came spectrum employee directed kicked property people amazon wristband got real wristband first kicked line almost,"['honored', 'fan', 'made', 'wristband', 'billie', 'concert', 'violated', 'policy', 'disgusting', 'rude', 'people', 'came', 'spectrum', 'employee', 'directed', 'kicked', 'property', 'people', 'amazon', 'wristband', 'got', 'real', 'wristband', 'first', 'kicked', 'line', 'almost']",27,323,0.3202,positive
James McCoy,True,8,1,1,"What an ABSOLUTE JOKE that you all honored fan made wristbands from one group thats been camping out since Wednesday and have no affiliation with the Spectrum Center. You all rewarded that behavior, and that speaks volumes on your establishment. Not only that, they were saving their fake Amazon bought wristbands for their friends that werent even there yet and some even at the Raleigh show! How is that even remotely okay? This is exactly why fan made lines are never honored literally anywhere else since its all up for debate. The fact you all blindly followed this group and allowed them to do this to people is insane. You all should be ashamed of yourselves, especially the worker named Daniel they were all getting close to. They were even deleting people off the list they created that they were giving Daniel and his buddies while the ring leader of this whole thing had a giant smirk on her face. Im never coming to the Spectrum Center again, and Ill make sure everyone else I know never does too. Absolutely insane.",5 months ago,,,,"What an ABSOLUTE JOKE that you all honored fan made wristbands from one group thats been camping out since Wednesday and have no affiliation with the Spectrum Center. You all rewarded that behavior, and that speaks volumes on your establishment. Not only that, they were saving their fake Amazon bought wristbands for their friends that werent even there yet and some even at the Raleigh show! How is that even remotely okay? This is exactly why fan made lines are never honored literally anywhere else since its all up for debate. The fact you all blindly followed this group and allowed them to do this to people is insane. You all should be ashamed of yourselves, especially the worker named Daniel they were all getting close to. They were even deleting people off the list they created that they were giving Daniel and his buddies while the ring leader of this whole thing had a giant smirk on her face. Im never coming to the Spectrum Center again, and Ill make sure everyone else I know never does too. Absolutely insane.",1.0,,James McCoy,1028,absolute joke honored fan made wristband one group thats camping since wednesday affiliation spectrum center rewarded behavior speaks volume establishment not saving fake amazon bought wristband friend werent even yet even raleigh show even remotely okay exactly fan made line never honored literally anywhere else since debate fact blindly followed group allowed people insane ashamed especially worker named daniel getting close even deleting people list created giving daniel buddy ring leader whole thing giant smirk face never coming spectrum center ill make sure everyone else know never absolutely insane,"['absolute', 'joke', 'honored', 'fan', 'made', 'wristband', 'one', 'group', 'thats', 'camping', 'since', 'wednesday', 'affiliation', 'spectrum', 'center', 'rewarded', 'behavior', 'speaks', 'volume', 'establishment', 'not', 'saving', 'fake', 'amazon', 'bought', 'wristband', 'friend', 'werent', 'even', 'yet', 'even', 'raleigh', 'show', 'even', 'remotely', 'okay', 'exactly', 'fan', 'made', 'line', 'never', 'honored', 'literally', 'anywhere', 'else', 'since', 'debate', 'fact', 'blindly', 'followed', 'group', 'allowed', 'people', 'insane', 'ashamed', 'especially', 'worker', 'named', 'daniel', 'getting', 'close', 'even', 'deleting', 'people', 'list', 'created', 'giving', 'daniel', 'buddy', 'ring', 'leader', 'whole', 'thing', 'giant', 'smirk', 'face', 'never', 'coming', 'spectrum', 'center', 'ill', 'make', 'sure', 'everyone', 'else', 'know', 'never', 'absolutely', 'insane']",89,1028,0.925,positive
Jim Shippam,False,6,0,1,"Our whole family went to the Ringling Brothers Circus, our Daughter and son-in-law, Grandchildren, and Great Grandchildren. Our Daughter ordered the tickets in the balcony, suppose to be Great seats. When we got into the Spectrum Center we were ran from one end to the other of the Center. Finally we all had to go to the customer service help desk for help. We were informed that the balcony was closed do to not enough people in the Center. We had to take what seats were left available. By this time the Circus had already started, this really messed the whole trip up for the whole family. This is a perfect example of the Left hand not knowing what the Right hand is doing! I have no intentions of ever going to this nightmare place again!",9 months ago,,,,"Our whole family went to the Ringling Brothers Circus, our Daughter and son-in-law, Grandchildren, and Great Grandchildren. Our Daughter ordered the tickets in the balcony, suppose to be Great seats. When we got into the Spectrum Center we were ran from one end to the other of the Center. Finally we all had to go to the customer service help desk for help. We were informed that the balcony was closed do to not enough people in the Center. We had to take what seats were left available. By this time the Circus had already started, this really messed the whole trip up for the whole family. This is a perfect example of the Left hand not knowing what the Right hand is doing! I have no intentions of ever going to this nightmare place again!",1.0,,Jim Shippam,744,whole family went ringling brother circus daughter son law grandchild great grandchild daughter ordered ticket balcony suppose great seat got spectrum center ran one end center finally customer service help desk help informed balcony closed not enough people center take seat left available time circus already started really messed whole trip whole family perfect example left hand not knowing right hand intention ever going nightmare place,"['whole', 'family', 'went', 'ringling', 'brother', 'circus', 'daughter', 'son', 'law', 'grandchild', 'great', 'grandchild', 'daughter', 'ordered', 'ticket', 'balcony', 'suppose', 'great', 'seat', 'got', 'spectrum', 'center', 'ran', 'one', 'end', 'center', 'finally', 'customer', 'service', 'help', 'desk', 'help', 'informed', 'balcony', 'closed', 'not', 'enough', 'people', 'center', 'take', 'seat', 'left', 'available', 'time', 'circus', 'already', 'started', 'really', 'messed', 'whole', 'trip', 'whole', 'family', 'perfect', 'example', 'left', 'hand', 'not', 'knowing', 'right', 'hand', 'intention', 'ever', 'going', 'nightmare', 'place']",66,744,0.9656,positive
Stefano Lenci,True,84,683,5,"For American sports fans, especially the NBA, a stop at the Spectrum Center is highly recommended. It's an unmissable experience, allowing you to experience the unique atmosphere of NBA games in one of the American states where basketball is more than just a sport.",Edited 10 months ago,Weekday,1030 min,Yes,"For American sports fans, especially the NBA, a stop at the Spectrum Center is highly recommended. It's an unmissable experience, allowing you to experience the unique atmosphere of NBA games in one of the American states where basketball is more than just a sport.",5.0,,Stefano Lenci,265,american sport fan especially nba stop spectrum center highly recommended unmissable experience allowing experience unique atmosphere nba game one american state basketball sport,"['american', 'sport', 'fan', 'especially', 'nba', 'stop', 'spectrum', 'center', 'highly', 'recommended', 'unmissable', 'experience', 'allowing', 'experience', 'unique', 'atmosphere', 'nba', 'game', 'one', 'american', 'state', 'basketball', 'sport']",23,265,-0.0953,negative
Tony Hoggard,True,84,1,4,Only issues are being harassed by homeless while waiting to get it and customer service we'd get different answers to ticket questions.,11 months ago,Weekend,3060 min,Yes,Only issues are being harassed by homeless while waiting to get it and customer service we'd get different answers to ticket questions.,4.0,,Tony Hoggard,135,issue harassed homeless waiting get customer service get different answer ticket question,"['issue', 'harassed', 'homeless', 'waiting', 'get', 'customer', 'service', 'get', 'different', 'answer', 'ticket', 'question']",12,135,-0.5423,negative
Matthew Crumpton,True,55,23,5,Disturbed Concert. Featuring Nothing More and Daughtry,11 months ago,Weekend,No wait,Yes,Disturbed Concert. Featuring Nothing More and Daughtry,5.0,,Matthew Crumpton,54,disturbed concert featuring nothing daughtry,"['disturbed', 'concert', 'featuring', 'nothing', 'daughtry']",5,54,-0.3818,negative
Jana F,True,23,0,3,"security is kinda buns i wish it was more organized: multiple staff members walked past me in the time of me waiting from 5PM-6PM in line, just for them to wait all the way til i got close to the doors to tell me i cant have a camera and to go put it back. uncoordinated, couldve told me sooner in the time of a full hour i was waiting. thx for ruining half of my day try communicating with your colleagues next time",a year ago,Weekday,1 hr,Yes,"security is kinda buns i wish it was more organized: multiple staff members walked past me in the time of me waiting from 5PM-6PM in line, just for them to wait all the way til i got close to the doors to tell me i cant have a camera and to go put it back. uncoordinated, couldve told me sooner in the time of a full hour i was waiting. thx for ruining half of my day try communicating with your colleagues next time",3.0,,Jana F,416,security kinda bun wish organized multiple staff member walked past time waiting line wait way til got close door tell cant camera put back uncoordinated couldve told sooner time full hour waiting thx ruining half day try communicating colleague next time,"['security', 'kinda', 'bun', 'wish', 'organized', 'multiple', 'staff', 'member', 'walked', 'past', 'time', 'waiting', 'line', 'wait', 'way', 'til', 'got', 'close', 'door', 'tell', 'cant', 'camera', 'put', 'back', 'uncoordinated', 'couldve', 'told', 'sooner', 'time', 'full', 'hour', 'waiting', 'thx', 'ruining', 'half', 'day', 'try', 'communicating', 'colleague', 'next', 'time']",41,416,0.651,positive
Elaine Nash,True,17,0,3,"I would not get seat in the top level, you can not see big screen do to light hanging down and the singers are like ants. Facilities are okay, parking is okay, city is great for a visit. Put big screens up in the air.for no bleed seats we pay money too.",a year ago,,,,"I would not get seat in the top level, you can not see big screen do to light hanging down and the singers are like ants. Facilities are okay, parking is okay, city is great for a visit. Put big screens up in the air.for no bleed seats we pay money too.",3.0,,Elaine Nash,253,would not get seat top level not see big screen light hanging singer like ant facility okay parking okay city great visit put big screen air bleed seat pay money,"['would', 'not', 'get', 'seat', 'top', 'level', 'not', 'see', 'big', 'screen', 'light', 'hanging', 'singer', 'like', 'ant', 'facility', 'okay', 'parking', 'okay', 'city', 'great', 'visit', 'put', 'big', 'screen', 'air', 'bleed', 'seat', 'pay', 'money']",30,253,0.8225,positive
Doug Robinson,True,327,28,3,The Center is ok but the challenge is dealing with uptown Charlotte. Good luck trying to park. Such congestion car's people that useless train once inside you can relax.,Edited a year ago,Weekday,No wait,Yes,The Center is ok but the challenge is dealing with uptown Charlotte. Good luck trying to park. Such congestion car's people that useless train once inside you can relax.,3.0,,Doug Robinson,169,center challenge dealing uptown charlotte good luck trying park congestion car's people useless train inside relax,"['center', 'challenge', 'dealing', 'uptown', 'charlotte', 'good', 'luck', 'trying', 'park', 'congestion', ""car's"", 'people', 'useless', 'train', 'inside', 'relax']",16,169,0.8765,positive
Tiffany Burnett,True,13,21,3,"Venue is good, the ladies at the front door directing people are rude as hell. If you're so miserable at your job, find a new one. Terrible first impression, put them ladies in the back somewhere.",a year ago,Weekday,1030 min,Yes,"Venue is good, the ladies at the front door directing people are rude as hell. If you're so miserable at your job, find a new one. Terrible first impression, put them ladies in the back somewhere.",3.0,,Tiffany Burnett,196,venue good lady front door directing people rude hell miserable job find new one terrible first impression put lady back somewhere,"['venue', 'good', 'lady', 'front', 'door', 'directing', 'people', 'rude', 'hell', 'miserable', 'job', 'find', 'new', 'one', 'terrible', 'first', 'impression', 'put', 'lady', 'back', 'somewhere']",21,196,-0.9004,negative
